relative_day,up_rate,up_cat,1_day_sentiment_score,1_day_news_count,past_7_days_senti_avg,past_3_days_senti_avg,1_day_overall_sentiment_score,open,high,low,close,volume,company_amazon,company_apple,company_facebook,company_google,company_microsoft,company_netflix,company_tesla
22,0.004048582995951508,0,0.07610694278400885,1803,0.051885357803340935,0.04151861934579082,137.22081783956796,151.51,152.48,149.1,151.28,23130600,0,1,0,0,0,0,0
23,-0.00793231094658903,0,0.07969126657143387,1645,0.050895779818724084,0.06688760027379377,131.09213351000872,151.47,151.83,149.14,150.08,25441500,0,1,0,0,0,0,0
24,0.03318230277185494,1,0.09584615936652409,1467,0.05086044552620132,0.09345135579760507,140.60631579069084,152.82,155.42,151.68,155.06,33535500,0,1,0,0,0,0,0
27,0.0,0,0.055866647913374055,1260,0.05374288953704847,0.03194871978884136,70.39197637085131,153.12,153.65,151.03,153.62,26192100,0,1,0,0,0,0,0
28,-0.010350214815779217,-1,0.04574659239647155,1241,0.06172383923895904,0.018622215971124685,56.771521164021195,153.57,155.42,151.47,152.03,41587200,0,1,0,0,0,0,0
29,0.06834177464974009,2,0.10929244344271034,2058,0.05046537271883035,0.033871080103281874,224.92384860509787,160.45,163.3,157.48,162.42,61109800,0,1,0,0,0,0,0
30,0.007203546361285655,0,0.07054479811296091,596,0.055206158527216276,0.07030189458418531,42.0446996753247,163.26,166.1,161.74,163.59,40739600,0,1,0,0,0,0,0
73,0.013012792236435736,1,0.10236839818617605,1125,0.06909208844406099,0.10248424050625682,115.16444795944805,182.46,184.91,181.37,183.72,39042900,0,1,0,0,0,0,0
76,0.0,0,0.08936724850479945,1474,0.07542089685028415,0.03412279939539201,131.72732429607439,183.4,185.96,183.39,185.59,26219800,0,1,0,0,0,0,0
77,-0.007920685381755476,0,0.09916093673838255,1380,0.0713126240299637,0.02978908283493315,136.84209269896792,185.92,186.55,183.52,184.12,31646400,0,1,0,0,0,0,0
78,0.008744297197479824,0,0.09441112420837586,1828,0.0690448352713,0.06284272841439399,172.58353505291106,183.82,187.04,182.34,185.73,31035200,0,1,0,0,0,0,0
79,0.036827653044742385,1,0.12504712063687537,1791,0.07125072183110066,0.09431310315051929,223.95939306064378,187.56,193.79,187.36,192.57,51034200,0,1,0,0,0,0,0
80,-0.020719738276990085,-1,0.10505197057293718,1562,0.07290783261065847,0.10620639386121127,164.09117803492788,192.82,195.14,188.32,188.58,42407700,0,1,0,0,0,0,0
86,0.0,0,0.15950454140874698,214,0.03287129874425893,0.0,34.133971861471856,186.51,187.11,185.11,186.28,20780400,0,1,0,0,0,0,0
87,0.006549280652780754,0,0.08953287040940754,1789,0.037793787425954885,0.05316818046958233,160.17430516243007,187.38,187.62,186.1,187.5,23564000,0,1,0,0,0,0,0
147,0.0,0,0.10457309943185915,1447,0.06814961000205777,0.0,151.3172748779002,177.29,178.94,176.29,176.6,27948200,0,1,0,0,0,0,0
148,-0.004756511891279748,0,0.05460388673461736,1745,0.07030957987931398,0.034857699810619716,95.28378235190729,174.81,177.71,174.4,175.76,28481200,0,1,0,0,0,0,0
149,0.005177514792899389,0,0.08667285514177445,2004,0.0669694332483552,0.053058995388825504,173.69240170411598,176.33,177.6,175.06,176.67,21218400,0,1,0,0,0,0,0
150,-0.018112865794984938,-1,0.06572064859224779,2242,0.06012861753627093,0.08194994710275032,147.34569414381954,174.62,176.37,173.39,173.47,27043600,0,1,0,0,0,0,0
177,-0.0003030609152439755,0,0.10827142513067525,1627,0.049006713872154474,0.0487210200966412,176.15760868760864,198.46,199.73,197.75,197.92,20899700,0,1,0,0,0,0,0
178,-0.00909458367016968,0,0.07603284761291478,1939,0.05013087607522648,0.08481149514019963,147.42769152144174,196.87,197.68,195.25,196.12,31110600,0,1,0,0,0,0,0
191,0.0,0,0.0887967408972891,1186,0.027774478301813264,0.025535496830791187,105.31293470418488,201.46,202.53,199.87,199.91,20191800,0,1,0,0,0,0,0
192,0.007703466559951939,0,0.08810551102948713,1123,0.04045972700142599,0.03782804229128022,98.94248888611405,200.6,202.14,200.36,201.45,17595200,0,1,0,0,0,0,0
195,0.0,0,0.12975858803840892,1966,0.03621553463130711,0.02936850367649571,255.10538408351195,202.23,203.99,202.14,203.34,16947400,0,1,0,0,0,0,0
196,-0.0034425100816367514,0,0.17291444590872523,1989,0.04733546084881953,0.04325286267946964,343.9268329124545,202.72,204.23,201.64,202.64,16866800,0,1,0,0,0,0,0
197,-0.0056257402289774305,0,0.10736871932991762,1556,0.06851075512484435,0.10089101131571139,167.0657272773518,202.19,203.22,201.42,201.5,14107500,0,1,0,0,0,0,0
198,0.011315136476426804,1,0.06311038246137345,1640,0.08384914360054685,0.1366805844256839,103.50102723665246,202.14,204.0,201.84,203.78,18582200,0,1,0,0,0,0,0
199,-0.014918048876239043,-1,0.07710678721945721,882,0.08017966382398747,0.11446451590000543,68.00818632756126,203.91,204.62,200.51,200.74,20929300,0,1,0,0,0,0,0
202,0.0,0,0.09400756042437285,2290,0.07860841756541177,0.025702262406485737,215.27731337181382,201.79,205.34,201.75,205.33,22277900,0,1,0,0,0,0,0
