relative_day,up_rate,up_cat,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume,company_amazon,company_apple,company_facebook,company_google,company_microsoft,company_netflix,company_tesla
168,0.017401216,1,0.100625318,0.080345432,0.030890762,234,23.54632431,132.93,133.97,132.31,133.89,25934500,0,0,0,0,1,0,0
169,0.003883785,0,0.108757126,0.07968657,0.064432535,196,21.31639671,133.73,134.65,132.55,134.41,23744400,0,0,0,0,1,0,0
170,0.009299903,0,0.14171709,0.079130456,0.10068491,220,31.17775974,136.16,136.37,134.44,135.66,33042600,0,0,0,0,1,0,0
171,0.000147427,0,0.099210344,0.086010381,0.117033178,163,16.17128608,135.3,136.43,135.18,135.68,36727900,0,0,0,0,1,0,0
175,0,0,0.10045834,0.064329982,0,251,25.21504329,135.96,136.3,131.48,132.18,33327400,0,0,0,0,1,0,0
176,0.003707066,0,0.093561886,0.064306129,0.033486113,155,14.50209235,133.09,134.46,132.34,132.67,23657700,0,0,0,0,1,0,0
177,0.00165825,0,0.05471578,0.06213538,0.064673409,258,14.11667118,132.88,133.44,132.25,132.89,16557500,0,0,0,0,1,0,0
178,-0.001429754,0,0.070544125,0.049706621,0.082912002,184,12.98011905,133.3,133.33,131.91,132.7,30043000,0,0,0,0,1,0,0
181,0,0,0.149683472,0.045611447,0.023514708,207,30.98447872,135.35,135.41,133.7,134.4,22654200,0,0,0,0,1,0,0
182,0.006696429,0,0.121582392,0.0669948,0.049894491,190,23.10065439,134.84,135.31,134.07,135.3,15237800,0,0,0,0,1,0,0
183,0.006430155,0,0.090129889,0.070012522,0.090421955,187,16.85428932,135.51,136.44,135.01,136.17,13629300,0,0,0,0,1,0,0
185,0,0,0.078452771,0.061705697,0.07057076,134,10.51267136,134.66,136.04,134.44,135.77,18141100,0,0,0,0,1,0,0
188,0,0,0.070949925,0.062835503,0.026150924,166,11.77768759,135.12,135.81,134.1,135.67,16779700,0,0,0,0,1,0,0
189,-0.003611705,0,0.066795924,0.051587854,0.023649975,259,17.3001443,134.72,135.68,134.52,135.18,19953100,0,0,0,0,1,0,0
191,0,0,0.138410979,0.030885517,0.045915283,234,32.38816919,136.9,137.91,136.57,137.1,22327900,0,0,0,0,1,0,0
192,0.003574034,0,0.068596392,0.050658514,0.068402301,170,11.66138667,137.54,137.82,136.71,137.59,18936800,0,0,0,0,1,0,0
195,0,0,0.105320059,0.04925046,0.022865464,177,18.64165043,138.13,138.23,137.16,137.59,16651500,0,0,0,0,1,0,0
196,-0.013082346,-1,0.083946886,0.054160479,0.035106686,202,16.95727092,137.65,137.74,135.24,135.79,22726100,0,0,0,0,1,0,0
197,-0.00589145,0,0.104595174,0.056610617,0.063088982,233,24.37067551,136.4,136.63,134.94,134.99,20211000,0,0,0,0,1,0,0
198,0.001111193,0,0.138999809,0.071552784,0.09795404,356,49.48393195,134.28,135.34,133.4,135.14,30808700,0,0,0,0,1,0,0
199,0.001479947,0,0.130090368,0.071636903,0.109180623,160,20.81445887,138.9,139.35,135.17,135.34,48992400,0,0,0,0,1,0,0
202,0,0,0.064094399,0.080421756,0.043363456,214,13.7162013,136.12,137.88,136.04,137.13,25074900,0,0,0,0,1,0,0
203,0.006198498,0,0.065818365,0.074532376,0.0213648,201,13.22949134,138.45,138.67,136.73,137.98,18034600,0,0,0,0,1,0,0
204,0.010291347,1,0.068214286,0.071942588,0.043304254,174,11.86928571,137.59,139.42,137.54,139.4,20738300,0,0,0,0,1,0,0
205,-0.003802009,0,0.077541534,0.066745318,0.06604235,188,14.57780844,139.11,139.29,138.01,138.87,18356900,0,0,0,0,1,0,0
206,0.008209116,0,0.103354988,0.057965564,0.070524728,172,17.77705794,139.05,140.35,138.98,140.01,19037600,0,0,0,0,1,0,0
209,0,0,0.128363595,0.054146224,0.034451663,193,24.77417388,140.17,140.18,138.06,139.7,16605900,0,0,0,0,1,0,0
210,-0.004795991,0,0.092359024,0.063327538,0.042787865,191,17.64057359,138.82,139.89,138.49,139.03,16846500,0,0,0,0,1,0,0
211,-0.029058477,-1,0.132592954,0.067119061,0.073574206,149,19.75635011,139.01,139.17,133.81,134.99,38598800,0,0,0,0,1,0,0
212,0.013112082,1,0.097070493,0.076316014,0.117771858,236,22.90863636,135.71,139.61,135.64,136.76,40557500,0,0,0,0,1,0,0
213,-0.008408891,0,0.109691054,0.079105865,0.107340824,220,24.13203193,136.79,137.02,133.99,135.61,30791600,0,0,0,0,1,0,0
216,0,0,0.170956173,0.080011017,0.036563685,239,40.85852543,132.05,132.67,129.55,130.97,42749600,0,0,0,0,1,0,0
217,0.018706574,1,0.096581559,0.086095671,0.056985391,232,22.4069216,132.54,134.4,131.96,133.42,32696700,0,0,0,0,1,0,0
218,0.004422126,0,0.096601443,0.08669889,0.089179244,300,28.9804329,132.53,134.37,130.59,134.01,33414500,0,0,0,0,1,0,0
219,0.026639803,1,0.097577531,0.081557246,0.121379725,179,17.46637807,135.32,137.68,134.65,137.58,27496500,0,0,0,0,1,0,0
220,-0.008504143,0,0.085705204,0.08162968,0.096920178,143,12.25584416,137.31,138.07,135.18,136.41,23466700,0,0,0,0,1,0,0
223,0,0,0.065873913,0.07820313,0.028568401,193,12.71366522,135.78,136.56,133.97,134.51,20476600,0,0,0,0,1,0,0
224,0.020741952,1,0.119523674,0.063191379,0.021957971,199,23.78521104,134.77,137.49,133.73,137.3,25154600,0,0,0,0,1,0,0
225,-0.03015295,-1,0.092409087,0.066468824,0.061799196,215,19.86795364,135.53,136.08,132.85,133.16,32527300,0,0,0,0,1,0,0
226,-0.002252929,0,0.055927504,0.065869915,0.092602224,173,9.675458153,133.57,133.76,131.44,132.86,28074400,0,0,0,0,1,0,0
227,0.018365196,1,0.089775078,0.059919912,0.089286755,156,14.00491222,134.06,135.63,133.9,135.3,24449100,0,0,0,0,1,0,0
230,0,0,0.051603261,0.060501322,0.029925026,250,12.9008153,137.01,137.7,136.05,137.56,24355700,0,0,0,0,1,0,0
231,-0.008287293,0,0.16047427,0.058462658,0.017201087,216,34.66244228,137.37,137.86,136.4,136.42,21170800,0,0,0,0,1,0,0
232,0.011142061,1,0.119864058,0.064312743,0.07069251,194,23.25362734,137.7,138.64,137.16,137.94,14970300,0,0,0,0,1,0,0
233,-0.007249529,0,0.097961543,0.068234882,0.110647196,196,19.20046238,137.81,138.35,135.46,136.94,18697000,0,0,0,0,1,0,0
234,-0.031838762,-1,0.130558732,0.074239744,0.126099957,159,20.75883838,136.35,137.51,131.99,132.58,38508600,0,0,0,0,1,0,0
237,0,0,0.061159972,0.080065981,0.043519577,158,9.663275613,134.17,134.73,133.08,134.62,20312600,0,0,0,0,1,0,0
238,0.002154212,0,0.1023237,0.081431225,0.020386657,194,19.85079786,135.56,135.89,133.84,134.91,23102100,0,0,0,0,1,0,0
239,-0.001334223,0,0.104270646,0.073124001,0.054494558,205,21.3754825,134.06,134.93,132.73,134.73,17393300,0,0,0,0,1,0,0
240,0.018926742,1,0.080992563,0.070896371,0.08925144,166,13.44476551,136.41,137.59,136.07,137.28,20168700,0,0,0,0,1,0,0
241,-0.001893939,0,0.128514753,0.068472231,0.095862303,152,19.53424242,138.3,138.33,135.44,137.02,23940100,0,0,0,0,1,0,0
245,0,0,0.121308376,0.059443095,0,165,20.01588203,135.78,136.36,134.87,135.21,18869300,0,0,0,0,1,0,0
246,0.011685526,1,0.102246749,0.062155191,0.040436125,205,20.96058351,136.46,136.85,135.65,136.79,17995900,0,0,0,0,1,0,0
247,0.017545142,1,0.078563024,0.061866063,0.074518375,211,16.57679798,138.26,139.52,137.91,139.19,26101800,0,0,0,0,1,0,0
248,-0.006753359,0,0.078487427,0.061518986,0.100706049,353,27.70606181,139.17,139.32,137.36,138.25,20824500,0,0,0,0,1,0,0
251,0,0,0.095621732,0.054372225,0.026162476,199,19.02872475,138.74,138.9,135.63,136.68,25773900,0,0,0,0,1,0,0
252,-0.010462394,-1,0.064587315,0.068032473,0.031873911,217,14.01544733,135.96,136.05,133.69,135.25,28903400,0,0,0,0,1,0,0
253,0.000295749,0,0.102968205,0.059929464,0.053403016,192,19.76989538,135.08,135.44,134.27,135.29,24726100,0,0,0,0,1,0,0
254,0.010274226,1,0.112403279,0.060032529,0.087725751,176,19.78297709,137.01,137.57,136.03,136.68,27010000,0,0,0,0,1,0,0
255,-0.001463272,0,0.139756577,0.064866851,0.0933196,195,27.25253247,136.94,137.22,135.74,136.48,23363100,0,0,0,0,1,0,0
258,0,0,0.095604847,0.073619587,0.046585526,162,15.48798521,135,135.87,134.83,135.5,16731400,0,0,0,0,1,0,0
259,0.007749077,0,0.042704264,0.073617175,0.031868282,238,10.16361472,136.12,136.68,135.6,136.55,17814200,0,0,0,0,1,0,0
260,0.008202124,0,0.183312042,0.070491024,0.046103037,245,44.91145022,136.52,137.82,135.7,137.67,23982100,0,0,0,0,1,0,0
261,0.018449916,1,0.13979502,0.081968715,0.107207051,252,35.22834506,139.44,141.5,139.21,140.21,35772100,0,0,0,0,1,0,0
262,-0.011554097,-1,0.147537908,0.085881821,0.121937108,156,23.0159136,140.15,140.79,137.41,138.59,39167300,0,0,0,0,1,0,0
265,0,0,0.149623297,0.08699344,0.049179303,237,35.4607215,138.38,138.78,137.59,138.29,17139300,0,0,0,0,1,0,0
266,-0.012654566,-1,0.179836085,0.094710361,0.049874432,239,42.98082431,139.5,139.83,136.04,136.54,29773200,0,0,0,0,1,0,0
267,0.014428006,1,0.132987327,0.114300622,0.109819794,232,30.85305976,136.66,139.11,135.2,138.51,21382000,0,0,0,0,1,0,0
268,0.001299545,0,0.172395477,0.107111377,0.154148903,210,36.20305014,138.59,139.32,137.59,138.69,17456600,0,0,0,0,1,0,0
269,-0.012978585,-1,0.135235554,0.111768585,0.161739629,208,28.12899531,139.29,139.5,135.82,136.89,22477700,0,0,0,0,1,0,0
272,0,0,0.097186632,0.110011106,0.045078518,227,22.06136544,137.21,138.37,136.94,138.18,17280900,0,0,0,0,1,0,0
