,relative_day,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
65,136,apple,0.06983832757228177,0.06993238268037656,0.11742179532964643,1449,101.19573665223629,185.23,189.16,185.06,187.28,32879100
66,160,apple,0.0773814817227241,0.05896700747954613,0.03189975468930985,1296,100.28640031265044,190.06,193.59,189.87,190.82,26220900
67,161,apple,0.08039279829317705,0.05792537331918075,0.025793827240908035,660,53.05924687349685,193.08,194.21,191.83,193.03,26932900
68,162,apple,0.08674479605054751,0.05815824187180973,0.052591426671967055,1417,122.91737600362582,192.18,194.18,191.63,192.42,18221800
69,181,apple,0.09684186456336792,0.047209619004787665,0.02534428253763826,1487,144.0038526057281,201.32,202.63,198.82,199.71,27316700
70,14,apple,0.08000974584633742,0.04223696675027807,0.05230034722222221,1087,86.97059373496879,147.7,150.76,147.48,150.45,28710900
71,65,apple,0.0773866551159783,0.0501632237656736,0.05855321713964335,3059,236.7257779997776,171.62,172.19,169.8,170.27,24796400
72,66,apple,0.05806673934261399,0.04863092928237605,0.06381937942339189,1715,99.584457972583,168.12,170.83,167.31,170.68,23999400
73,69,apple,0.1181251582470425,0.044444720839646054,0.01935557978087133,2728,322.24543169793196,173.22,176.81,173.08,176.59,32011000
74,70,apple,0.1150354580490285,0.05252143369426173,0.03937505274901417,2266,260.6703479390986,177.67,180.31,177.05,178.57,32467600
75,71,apple,0.07896991828977125,0.059613358820786,0.07772020543202367,884,69.80940776815778,179.9,180.93,178.58,179.36,31032500
76,72,apple,0.11344734517997074,0.06394056129206208,0.10404351152861409,1369,155.30941555137994,181.52,181.72,180.2,181.36,23579500
77,139,apple,0.12960246553233407,0.0695345125641215,0.023279442524093922,1597,206.97513745513749,181.85,182.67,178.64,181.42,38612300
78,140,apple,0.08945331029106568,0.07881516844193645,0.04320082184411136,1272,113.78461069023554,183.53,186.29,183.02,184.9,28364800
79,141,apple,0.07798491315132879,0.08072844380009954,0.07301859194113325,1660,129.45495583120578,182.98,184.02,180.89,181.11,29748600
80,142,apple,0.13455856512636433,0.06534406261417641,0.09901356299157617,1486,199.95402777777738,178.16,178.89,176.19,178.02,36529700
81,143,apple,0.17505048144564558,0.07163394023905352,0.10066559618958626,1494,261.5254192797945,178.56,180.48,176.99,177.34,23714700
82,163,apple,0.08193000026346113,0.06117021637253468,0.08150635868881621,1634,133.8736204304955,192.92,195.0,191.83,192.38,21674600
83,164,apple,0.11110299878917838,0.06030690577111991,0.08302253153572857,2464,273.7577890165355,189.8,191.82,188.56,190.98,18761500
84,167,apple,0.10061025266552046,0.06250743930272687,0.037034332929726126,1158,116.50667258667269,191.14,193.18,190.42,192.12,14669100
85,168,apple,0.08575433082274148,0.06582583515169779,0.03353675088850682,1142,97.93144579957077,194.26,198.46,193.43,196.64,26551000
86,169,apple,0.10624809239031711,0.066591768370207,0.062121527829420646,1299,138.01627201502194,197.86,198.06,195.51,196.07,21124200
87,170,apple,0.10040228970917121,0.06937795356160266,0.09753755862619302,1257,126.2056781644282,198.54,198.78,196.22,197.64,21514000
88,171,apple,0.09648164710598649,0.07201685205384696,0.09746823764074326,2081,200.7783076275579,196.99,199.02,196.34,196.97,47800600
89,175,apple,0.06257429790191886,0.05555519428974519,0.0,1488,93.11055527805527,196.62,197.44,193.51,193.79,21070300
90,176,apple,0.08358876238800475,0.05224376101534196,0.02085809930063962,825,68.96072897010392,195.97,199.16,195.55,197.98,26067500
91,182,apple,0.10892227069830233,0.061044171085268786,0.03228062152112264,1503,163.7101728595484,199.57,201.28,199.52,200.88,16935200
92,183,apple,0.07805113581551178,0.06766531005618072,0.06858804508722342,1426,111.30091967291979,201.43,202.58,200.84,202.55,11362000
93,185,apple,0.11781485762031928,0.051406874098585256,0.06232446883793804,1767,208.17885341510416,201.5,203.21,201.05,202.37,17265500
94,188,apple,0.05191910451582199,0.057375732671071614,0.03927161920677309,1706,88.57399230399231,198.98,199.56,196.6,198.2,25338600
95,189,apple,0.024687385976551564,0.0509581955214222,0.017306368171940662,1516,37.42607714045217,197.38,199.67,197.0,199.4,20578000
96,212,apple,0.13320138493565867,0.057568373907207405,0.08227007340161843,1852,246.68896490083986,211.95,216.04,204.85,206.53,54017900
97,213,apple,0.09488697405147434,0.06262751044404083,0.10115185284051358,1731,164.24935208310208,203.66,204.55,199.79,202.16,40862100
98,-61,apple,0.09052235115349495,0.0,0.0,1709,154.70269812132287,214.55,217.79,212.35,217.65,58323200
99,-60,apple,0.09350179816266573,0.012931764450499279,0.030174117051164986,1631,152.5014328033078,205.24,209.26,201.21,203.22,91328700
100,-57,apple,0.06275157680380906,0.026289164188022955,0.031167266054221907,2307,144.7678876863875,200.1,200.19,194.1,197.45,66163700
101,-56,apple,0.11554495467612817,0.035253675159995675,0.020917192267936355,2207,255.0077149702149,197.77,200.51,197.54,199.58,31882900
102,-55,apple,0.12481823502954835,0.05176009725658542,0.05943217715997908,1748,218.18227483165052,201.74,205.74,199.93,205.63,33424400
103,-54,apple,0.19510643627130309,0.06959127368937804,0.10103825550316187,1828,356.654565503942,206.38,206.52,203.21,204.92,25362600
104,-53,apple,0.18256462201068227,0.08453185727763635,0.14515654199232655,1935,353.2625435906702,202.03,202.48,198.78,200.97,34365800
105,-50,apple,0.1286413046144062,0.09725511782735298,0.06085487400356076,2226,286.3555440716682,195.59,196.43,190.47,190.84,51135500
106,-49,apple,0.10751781708535854,0.10666793608600973,0.04288043487146873,1847,198.58540815665722,188.35,193.8,188.17,188.94,46882900
107,-48,apple,0.09085778905684769,0.10552120214447121,0.07871970723325492,1806,164.08916703666694,190.58,191.15,182.74,183.6,60801000
108,-47,apple,0.08880733656915475,0.10066970986265682,0.10900563691887082,1375,122.11008778258778,185.16,188.68,183.7,188.13,46478800
109,-46,apple,0.16049023156977665,0.08548412419092136,0.09572764757045367,1474,236.5626013338508,187.24,191.63,186.21,190.21,36928300
110,-43,apple,0.10295998322931207,0.08233063984222055,0.05349674385659222,1456,149.90973558187838,186.74,187.43,181.82,182.68,41925300
111,-42,apple,0.09418785734827838,0.07866187964434997,0.03431999440977069,1377,129.69667956857933,175.31,178.36,172.5,173.95,67825200
112,-41,apple,0.09206444637120453,0.07675759968190994,0.06571594685919681,1328,122.26158478095962,176.65,177.18,173.52,173.75,31124200
113,-39,apple,0.0945498030837077,0.06424321693122452,0.06208410123982764,1342,126.88583573833573,171.94,173.57,169.15,169.34,23624000
114,-36,apple,0.09883101095672356,0.05482315571892896,0.03151660102790257,1578,155.95533528970978,171.25,171.95,167.34,171.63,44998500
115,-35,apple,0.11915259204955586,0.054233302537130594,0.03294367031890785,1639,195.29109836922206,168.57,171.78,167.95,171.25,41387400
116,-34,apple,0.14040531172136023,0.05779969320874167,0.07266120100209314,1779,249.78104955229986,173.7,178.18,171.93,177.84,46062500
117,-33,apple,0.1344878439349384,0.06470553111590677,0.11946297157587989,2332,313.62565205627635,179.53,179.67,174.66,176.47,41770000
118,-32,apple,0.09258538979273384,0.08391808024946938,0.13134858256861817,1811,167.67214091464098,177.2,177.24,174.0,175.52,39531500
119,-29,apple,0.09661814747752244,0.08363744977933027,0.030861796597577946,1664,160.77259740259734,181.3,181.77,178.1,181.65,40802500
120,-28,apple,0.12679821154211748,0.08332132642515869,0.03220604915917415,1723,218.47331848706844,177.85,179.26,173.25,173.66,41344300
121,-26,apple,0.10030411839746858,0.06435565610675888,0.07447211967321331,1955,196.09455146705108,168.82,171.79,167.5,171.73,43098400
122,-25,apple,0.08520843578327128,0.059472266744263196,0.07570077664652869,1520,129.51682239057234,170.52,171.5,165.42,165.6,42281600
123,-8,apple,0.14070228977990304,0.0,0.0,641,90.19016774891784,145.61,148.95,144.08,144.31,37169200
124,-6,apple,0.058517929944887706,0.02010032711141472,0.04690076325996768,1494,87.42578733766223,145.76,154.54,144.21,154.48,58582500
125,-5,apple,0.05746968295887137,0.028460031389255822,0.06640673990826358,1873,107.64071618196608,153.17,154.08,147.5,153.47,53117100
126,-4,apple,0.07201337080723048,0.036669986097666016,0.03866253763458636,1482,106.72381553631557,154.8,155.8,151.9,153.55,42291400
127,-1,apple,0.09404297807722453,0.04695761049869894,0.024004456935743494,1095,102.97706099456086,155.81,156.63,153.8,155.04,35003500
128,13,apple,0.15690104166666663,0.019822532226468563,0.0,64,10.041666666666664,148.27,148.68,146.66,147.43,32439200
129,15,apple,0.08303398867632683,0.053666930442612,0.07897026250433468,1514,125.71345885595882,150.46,153.21,150.38,152.29,30569700
130,16,apple,0.07993860661909324,0.05729642665953765,0.10664825872977696,1613,128.9409724765974,151.56,154.96,150.63,153.19,29821200
131,17,apple,0.07566905129059404,0.057126197544060585,0.08099411371391917,1472,111.38484349975442,154.8,155.17,153.31,154.13,33751000
132,21,apple,0.12455585803737246,0.045521627490335934,0.0,1704,212.24318209568267,153.73,154.04,150.0,150.67,30394000
133,22,apple,0.07610694278400885,0.051885357803340935,0.04151861934579082,1803,137.22081783956796,151.51,152.48,149.1,151.28,23130600
134,23,apple,0.07969126657143387,0.050895779818724084,0.06688760027379377,1645,131.09213351000872,151.47,151.83,149.14,150.08,25441500
135,24,apple,0.09584615936652409,0.05086044552620132,0.09345135579760507,1467,140.60631579069084,152.82,155.42,151.68,155.06,33535500
136,27,apple,0.055866647913374055,0.05374288953704847,0.03194871978884136,1260,70.39197637085131,153.12,153.65,151.03,153.62,26192100
137,28,apple,0.04574659239647155,0.06172383923895904,0.018622215971124685,1241,56.771521164021195,153.57,155.42,151.47,152.03,41587200
138,29,apple,0.10929244344271034,0.05046537271883035,0.033871080103281874,2058,224.92384860509787,160.45,163.3,157.48,162.42,61109800
139,30,apple,0.07054479811296091,0.055206158527216276,0.07030189458418531,596,42.0446996753247,163.26,166.1,161.74,163.59,40739600
140,73,apple,0.10236839818617605,0.06909208844406099,0.10248424050625682,1125,115.16444795944805,182.46,184.91,181.37,183.72,39042900
141,76,apple,0.08936724850479945,0.07542089685028415,0.03412279939539201,1474,131.72732429607439,183.4,185.96,183.39,185.59,26219800
142,77,apple,0.09916093673838255,0.0713126240299637,0.02978908283493315,1380,136.84209269896792,185.92,186.55,183.52,184.12,31646400
143,78,apple,0.09441112420837586,0.0690448352713,0.06284272841439399,1828,172.58353505291106,183.82,187.04,182.34,185.73,31035200
144,79,apple,0.12504712063687537,0.07125072183110066,0.09431310315051929,1791,223.95939306064378,187.56,193.79,187.36,192.57,51034200
145,80,apple,0.10505197057293718,0.07290783261065847,0.10620639386121127,1562,164.09117803492788,192.82,195.14,188.32,188.58,42407700
146,86,apple,0.15950454140874698,0.03287129874425893,0.0,214,34.133971861471856,186.51,187.11,185.11,186.28,20780400
147,87,apple,0.08953287040940754,0.037793787425954885,0.05316818046958233,1789,160.17430516243007,187.38,187.62,186.1,187.5,23564000
148,147,apple,0.10457309943185915,0.06814961000205777,0.0,1447,151.3172748779002,177.29,178.94,176.29,176.6,27948200
149,148,apple,0.05460388673461736,0.07030957987931398,0.034857699810619716,1745,95.28378235190729,174.81,177.71,174.4,175.76,28481200
150,149,apple,0.08667285514177445,0.0669694332483552,0.053058995388825504,2004,173.69240170411598,176.33,177.6,175.06,176.67,21218400
151,150,apple,0.06572064859224779,0.06012861753627093,0.08194994710275032,2242,147.34569414381954,174.62,176.37,173.39,173.47,27043600
152,177,apple,0.10827142513067525,0.049006713872154474,0.0487210200966412,1627,176.15760868760864,198.46,199.73,197.75,197.92,20899700
