,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
52,38,0.003866602223296196,0,microsoft,0.01651140184391418,0.07756006781887023,0.07426130694642354,203,3.3518145743145786,102.59,103.95,102.46,103.85,21461100
53,41,0.0,0,microsoft,0.03210671996796401,0.059857718092593694,0.00550380061463806,209,6.710304473304478,104.37,104.74,103.16,103.43,18914100
54,42,0.01566276708885227,1,microsoft,0.11460770606944073,0.03877172037873554,0.010702239989321337,196,22.463110389610385,104.31,105.29,103.66,105.05,25056600
55,43,-0.0007615421227986511,0,microsoft,0.1267248009831742,0.041777084015585456,0.048904808679134916,209,26.485483405483407,105.65,105.92,104.87,104.97,18394900
56,44,0.0008573878250929162,0,microsoft,0.09101353395708235,0.04621740174128085,0.09114640900685965,186,16.928517316017317,104.48,105.44,103.84,105.06,21784700
57,45,0.012278697886921684,1,microsoft,0.06578027042010089,0.054423451831653646,0.11078201366989911,177,11.643107864357857,106.05,106.43,105.51,106.35,26606900
58,49,0.0,0,microsoft,0.10301026818709745,0.05687518734711402,0.0,205,21.117104978354977,105.93,106.79,105.92,106.3,18038500
59,50,-0.0051740357478833226,0,microsoft,0.08183451882946836,0.055218410506779274,0.03433675606236582,297,24.304852092352103,106.45,106.53,104.9,105.75,21607700
60,51,0.021087470449172613,1,microsoft,0.03904192922050065,0.04880551305624986,0.061614929005521936,259,10.111859668109668,105.5,108.05,105.47,107.98,29063200
61,52,0.014261900351916948,1,microsoft,0.04230862547039017,0.04138099809388105,0.07462890541235549,306,12.946439393939391,108.61,109.75,108.39,109.52,27763200
62,55,0.0,0,microsoft,0.07994652137315178,0.03802790595820809,0.014102875156796722,276,22.06523989898989,110.3,110.72,109.81,110.13,23750600
63,56,0.00690093525833111,0,microsoft,0.10737399700467883,0.04944883758294406,0.02664884045771726,264,28.34673520923521,109.81,111.76,109.72,110.89,21536700
64,57,-0.001623230228154088,0,microsoft,0.0937575056591644,0.05007222741402711,0.062440172792610195,211,19.78283369408369,110.23,110.89,109.43,110.71,21487100
65,58,-0.0012645650799385836,0,microsoft,0.13986365445436244,0.05177551124684083,0.09369267467899833,226,31.609185906685912,110.58,111.41,110.27,110.57,29083900
66,59,0.004431581803382555,0,microsoft,0.05626223887968856,0.06617861485167822,0.11366505237273522,149,8.383073593073595,111.42,111.54,110.21,111.06,23501200
67,62,0.0,0,microsoft,0.1034357864357864,0.06817198819586372,0.018754079626562854,225,23.27305194805194,111.54,111.77,109.35,110.79,26608000
68,63,-0.004964346962722369,0,microsoft,0.10388249269005848,0.07152759749052581,0.03447859547859546,152,15.790138888888889,110.78,110.92,109.78,110.24,19538300
69,64,0.00045355587808428314,0,microsoft,0.10765958648534409,0.07102881115986576,0.0691060930419483,264,28.42213083213084,110.41,111.19,109.97,110.29,17687000
70,65,-0.012149786925378579,-1,microsoft,0.1026111667408397,0.07301482270646285,0.10499262187039632,214,21.958789682539695,109.95,110.09,108.44,108.95,25339000
71,66,0.0011014226709498884,0,microsoft,0.03984490643764839,0.06769303874738818,0.10471774863874743,186,7.4111525974026,107.73,109.26,107.38,109.07,22818400
72,69,0.0,0,microsoft,0.12322356447356442,0.06534770554138243,0.01328163547921613,222,27.3556313131313,109.54,111.48,109.53,111.36,26491600
73,70,0.007004310344827597,0,microsoft,0.051994319883470815,0.06817453097535073,0.04107452149118814,318,16.53419372294372,111.35,112.5,111.18,112.14,26132700
74,71,0.00766898519707508,0,microsoft,0.05514000079068573,0.06076193486012391,0.05840596145234508,146,8.050440115440116,112.64,113.5,112.29,113.0,35513800
75,72,0.0007964601769911806,0,microsoft,0.1464621605246604,0.053259136903744154,0.07678596171590699,300,43.93864815739812,113.04,113.7,112.84,113.09,30763400
76,73,0.011583694402688144,1,microsoft,0.12504885695241028,0.0595235645871471,0.08453216039960565,197,24.634624819624825,113.83,115.72,113.09,114.4,54681100
77,76,0.0,0,microsoft,0.1001772703616966,0.07169555751782737,0.041682952317470094,183,18.332440476190477,114.65,116.07,114.53,116.03,31207600
78,77,0.0006894768594328906,0,microsoft,0.12547660727939614,0.06840322978756054,0.03339242345389887,251,31.49462842712843,116.55,116.89,115.46,116.11,37588700
79,78,-0.0010335027129446607,0,microsoft,0.10115970049820415,0.07890069941554988,0.07521795921369757,274,27.717757936507937,115.86,117.2,115.19,115.99,28113300
80,79,0.022933011466505827,1,microsoft,0.065384620219115,0.08547494223090966,0.10893785937976563,287,18.765386002886004,115.61,119.24,115.56,118.65,29854400
81,80,-0.026380109565950355,-1,microsoft,0.057724099145089726,0.0738924364729746,0.09734030933223843,212,12.237509018759022,117.94,118.03,115.51,115.52,33624500
