,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,open,high,low,close,volume
69,140,-0.0007800018289698303,0,amazon,0.22089673046252062,0.10789524980842116,0.0534856514743278,1045,230.83708333333405,1874.79,1879.0,1846.0,1857.52,4005100
70,141,0.0011628407769499558,0,amazon,0.1519994173838002,0.11273967495790892,0.12711789496183468,1239,188.32727813852847,1851.78,1871.49,1851.0,1859.68,2936600
71,142,-0.023767529897616817,-1,amazon,0.13290914581394536,0.11052535018906215,0.17778436742310144,948,125.9978702316202,1836.59,1844.0,1804.2,1815.48,4424300
72,143,0.004296384427258881,0,amazon,0.13037532235564386,0.11480646027580378,0.16860176455342205,902,117.59854076479076,1835.89,1841.76,1817.85,1823.28,3369700
73,153,0.0,0,amazon,0.11873533070581678,0.09074563031253954,0.06048545250972103,936,111.1362695406445,1760.01,1766.29,1672.0,1692.69,9098700
74,154,0.021781897453166197,1,amazon,0.13866260864725008,0.1077078204133705,0.03957844356860559,997,138.24662082130834,1699.24,1730.82,1680.89,1729.56,5679100
75,155,0.005168944702698984,0,amazon,0.11157889363153606,0.10702293346641704,0.08579931311768896,1192,133.00204120879098,1749.6,1752.0,1715.25,1738.5,4239800
76,156,0.009122807017543802,0,amazon,0.15463558194407212,0.10197358901135788,0.12299227766153431,904,139.79056607744118,1737.71,1760.0,1726.13,1754.36,3689300
77,157,0.028312319022321574,1,amazon,0.15402607490246384,0.10072411035111974,0.13495902807428609,900,138.62346741221745,1763.7,1806.25,1759.49,1804.03,4808200
78,160,0.0,0,amazon,0.16248022013469882,0.09680549854730555,0.051342024967487944,882,143.30755415880435,1822.0,1884.87,1818.0,1860.63,5371000
79,161,0.0016499787706314186,0,amazon,0.1530012016069143,0.10305476846571728,0.05416007337823294,512,78.33661522274012,1883.25,1893.7,1858.0,1863.7,4042700
80,162,-0.004496431829157111,0,amazon,0.15092898828598605,0.10510313888852643,0.10516047391387102,861,129.949858914234,1853.98,1865.0,1844.38,1855.32,2674500
81,163,0.008074078865101449,0,amazon,0.14523533142484746,0.1107245809820193,0.15547013667586637,961,139.5711534992784,1866.72,1883.09,1862.22,1870.3,2795800
82,164,-0.0003368443565202811,0,amazon,0.13561698629006322,0.10938168805070148,0.14972184043924927,1027,139.27864491989493,1864.0,1876.0,1859.0,1869.67,2851200
83,167,0.0,0,amazon,0.12945502846831852,0.10675181824892999,0.04520566209668774,997,129.06666338291356,1876.5,1895.69,1875.45,1886.03,2634300
84,168,0.008133486741992395,0,amazon,0.14519203529548375,0.10203393372516137,0.043151676156106177,870,126.31707070707085,1901.35,1921.67,1899.79,1901.37,3895700
85,169,0.0039024492865670926,0,amazon,0.17755731610722045,0.10091833853781414,0.09154902125460075,784,139.20493582806083,1907.84,1919.58,1892.47,1908.79,2895300
86,170,0.004924585732322619,0,amazon,0.15004412959443433,0.10472238536941905,0.15073479329034092,984,147.6434235209234,1933.33,1935.2,1905.8,1918.19,3217200
87,171,-0.0035919278069430557,0,amazon,0.15203665167171884,0.1054093565365029,0.15759782699904618,1043,158.57422769360275,1916.1,1925.95,1907.58,1911.3,3933600
88,175,0.0,0,amazon,0.21796520814734097,0.08926144752412248,0.0,1304,284.2266314241326,1911.84,1916.39,1872.42,1878.27,3012300
89,176,0.010413838266063956,1,amazon,0.16304090278211367,0.09965761507438779,0.072655069382447,512,83.4769422244422,1892.48,1903.8,1887.32,1897.83,2441900
90,181,0.0,0,amazon,0.1789468032011789,0.10114758580580321,0.05270580245935935,1057,189.1467709836461,1922.98,1929.82,1914.66,1922.19,3203300
91,182,0.006305308008053258,0,amazon,0.18008172192561867,0.12671141483454307,0.05964893440039296,1286,231.5850943963456,1919.38,1934.79,1906.63,1934.31,2645900
92,183,0.0024246372091340346,0,amazon,0.14791002476197165,0.12129948823143988,0.11967617504226585,976,144.36018416768434,1935.89,1941.59,1930.5,1939.0,1690300
93,185,0.0,0,amazon,0.12705693626023876,0.0950079938952639,0.10933058222919678,969,123.11817123617136,1928.6,1945.9,1925.3,1942.91,2628400
94,188,0.0,0,amazon,0.12339750354859519,0.09057078373557258,0.04235231208674625,939,115.87025583213088,1934.12,1956.0,1928.25,1952.32,2883400
95,189,0.018429355843304386,1,amazon,0.11772156862135325,0.0826351694994892,0.041132501182865065,1160,136.55701960076976,1947.8,1990.01,1943.48,1988.3,4345700
96,212,-0.006138912994568206,0,amazon,0.1297381126623263,0.10721288019580134,0.15690962616109955,1049,136.09528018278027,1871.72,1897.92,1844.01,1855.32,4713300
97,213,-0.017290817756505577,-1,amazon,0.13450430523512277,0.108231146316946,0.15987242344179906,1199,161.2706619769122,1845.07,1846.36,1808.02,1823.24,4956200
98,-61,0.0,0,amazon,0.1802598445789432,0.0,0.0,1487,268.04638888888854,1623.53,1670.45,1598.44,1665.53,8135500
99,-60,0.0,0,amazon,0.167941378937756,0.02575140636842046,0.06008661485964773,1311,220.1711477873981,1678.59,1697.44,1651.83,1665.53,6955500
100,-57,0.0,0,amazon,0.1930565093719546,0.04974303193095703,0.05598045964591866,1337,258.1165530303033,1657.57,1658.09,1596.36,1627.8,5624700
101,-56,0.009221034525125932,0,amazon,0.16220989256244536,0.07732253326980768,0.06435216979065153,1136,184.27043795093792,1618.35,1665.0,1614.55,1642.81,4257400
102,-55,0.06858979431583694,2,amazon,0.19278911362487738,0.10049537506444273,0.11842213397813332,943,181.80013414825936,1673.0,1759.23,1664.08,1755.49,8192200
103,-54,-0.0003303920842613329,0,amazon,0.18764543038636033,0.12803667701085378,0.18268517185309244,882,165.5032696007698,1755.0,1784.0,1725.11,1754.91,6534900
104,-53,-0.02420636955741321,-1,amazon,0.17457806655947827,0.12909176069762768,0.18088147885789438,928,162.00844576719584,1732.5,1743.92,1701.87,1712.43,5902200
105,-50,0.0,0,amazon,0.13498759215628656,0.13003985892930228,0.058192688853159424,1130,152.5359791366038,1698.24,1708.55,1630.01,1636.85,6806200
106,-49,-0.003470079726303471,0,amazon,0.09602259860471071,0.12174429932706397,0.04499586405209552,3107,298.3422138648362,1649.29,1677.06,1613.75,1631.17,5933300
107,-48,-0.019715909439236914,-1,amazon,0.13274570099263713,0.11228897161881617,0.07700339692033242,2081,276.24380376567785,1656.32,1673.0,1597.07,1599.01,6486900
108,-47,0.012776655555625084,1,amazon,0.12298800750410932,0.10371134124278185,0.12125196391787814,1475,181.40731106856126,1581.01,1624.82,1546.51,1619.44,8427300
109,-46,-0.016073457491478517,-1,amazon,0.13064409004235872,0.09447456654531743,0.1172521023671524,1343,175.45501292688775,1587.5,1614.48,1573.12,1593.41,6066100
110,-43,0.0,0,amazon,0.12968417185103506,0.08819828418572892,0.043548030014119575,1272,164.9582665945166,1577.01,1581.19,1503.36,1512.29,7790000
111,-42,-0.01112881788545843,-1,amazon,0.1480049131547755,0.08744065271355014,0.04322805728367835,1272,188.26224953287445,1437.5,1534.75,1420.0,1495.46,10878800
112,-41,0.014223048426571076,1,amazon,0.16202748716709064,0.09486669764927368,0.09256302833527019,1361,220.51941003441036,1542.99,1550.0,1515.0,1516.73,5716800
113,-39,0.0,0,amazon,0.1297754207102638,0.08148009460217999,0.10334413344062206,1529,198.42661826599334,1517.0,1536.2,1501.81,1502.06,2707600
114,-36,0.0,0,amazon,0.12499752519598807,0.08135599898330928,0.043258473570087934,1659,207.37089430014422,1539.0,1584.81,1524.22,1581.33,6257700
115,-35,5.6914116598145565e-05,0,amazon,0.13690592041201796,0.0806864780325883,0.04166584173199602,1271,174.00742484367484,1575.99,1597.65,1558.01,1581.42,5783200
116,-34,0.06091360928785517,2,amazon,0.1502394531694947,0.0791009076407658,0.08730114853600202,1324,198.917035996411,1613.92,1681.45,1601.22,1677.75,8458700
117,-33,-0.0024914319773506562,0,amazon,0.14230572533578176,0.07741690278396636,0.1373809662591669,1152,163.9361955868206,1674.99,1689.99,1652.33,1673.57,6613200
118,-32,0.009918915850547116,0,amazon,0.14759895363343642,0.09774629211764947,0.1431503663057648,1073,158.37367724867727,1679.5,1696.0,1666.5,1690.17,5761800
