,relative_day,up_rate,up_cat,company,1_day_sentiment_score,past_7_days_senti_avg,past_3_days_senti_avg,1_day_news_count,1_day_overall_sentiment_score,1_day_bert_sentiment_score,1_day_overall_bert_sentiment_score,open,high,low,close,volume
52,38,0.00570982089193423,0,facebook,0.061640543646721196,0.0531777161120242,0.0689789323785581,1801,111.01461910774488,{'$numberInt': '0'},{'$numberInt': '0'},164.47,167.37,164.21,167.33,12561400
53,41,0.0,0,facebook,0.0588966081313539,0.051383845211958844,0.0205468478822404,1475,86.872496993747,{'$numberInt': '0'},{'$numberInt': '0'},167.9,168.3,165.08,165.79,12811200
54,42,-0.0045237951625550395,0,facebook,0.09252355308973328,0.046781992701964197,0.0196322027104513,1732,160.25079395141805,{'$numberInt': '0'},{'$numberInt': '0'},166.86,168.34,164.5,165.04,16292300
55,43,-0.005877363063499751,0,facebook,0.09401828333753653,0.045914848178963866,0.05047338707369573,1379,129.65121272246287,{'$numberInt': '0'},{'$numberInt': '0'},165.38,166.22,163.73,164.07,14205100
56,44,-0.0007313951362223718,0,facebook,0.12712863226434346,0.05009796056315609,0.08181281485287457,1377,175.05612662800095,{'$numberInt': '0'},{'$numberInt': '0'},163.19,164.87,162.25,163.95,12755200
57,45,-0.008844159804818473,0,facebook,0.11530369865734587,0.06202966006709835,0.10455682289720443,1405,162.00169661357094,{'$numberInt': '0'},{'$numberInt': '0'},164.51,164.7,160.86,162.5,15504400
58,49,0.0,0,facebook,0.0034311821357152876,0.06128202390699416,0.0,1842,6.32023749398756,{'$numberInt': '0'},{'$numberInt': '0'},160.5,164.15,160.33,162.29,14345400
59,50,0.0016636884589316054,0,facebook,0.05462117727852552,0.04855454234213445,0.0011437273785717625,1565,85.48214244089245,{'$numberInt': '0'},{'$numberInt': '0'},162.25,163.72,161.25,162.56,11770700
60,51,-0.01550196850393707,-1,facebook,0.09248556739077682,0.042926384333704305,0.0193507864714136,1622,150.01159030784,{'$numberInt': '0'},{'$numberInt': '0'},161.93,162.24,159.59,160.04,15607800
61,52,0.011559610097475597,1,facebook,0.10502251570425983,0.03797737506605193,0.05017930893500588,1542,161.94471921596866,{'$numberInt': '0'},{'$numberInt': '0'},160.58,162.41,160.31,161.89,15858500
62,55,0.0,0,facebook,0.03814126101902957,0.03650863464418249,0.035007505234753274,1851,70.59947414622374,{'$numberInt': '0'},{'$numberInt': '0'},163.07,166.07,162.9,164.62,18737100
63,56,-0.0029765520592881125,0,facebook,0.15978411997894676,0.041957386218329576,0.012713753673009857,3301,527.4473800505033,{'$numberInt': '0'},{'$numberInt': '0'},164.34,166.24,163.8,164.13,13784100
64,57,-0.008042405410345416,0,facebook,0.10394187877468067,0.06429352019593407,0.06597512699932544,2041,212.14537457912326,{'$numberInt': '0'},{'$numberInt': '0'},162.9,163.93,160.41,162.81,12697500
65,58,-0.008353295252134473,0,facebook,0.10401028597887224,0.07133933469538481,0.10062241992421901,1914,199.07568736356146,{'$numberInt': '0'},{'$numberInt': '0'},162.37,163.5,160.86,161.45,11114200
66,59,0.005140910498606458,0,facebook,0.0812568480675099,0.07298572306511272,0.12257876157749988,1360,110.50931337181345,{'$numberInt': '0'},{'$numberInt': '0'},162.6,163.13,161.69,162.28,11097800
67,62,0.0,0,facebook,0.08129624343042972,0.06959062768843417,0.027085616022503298,1524,123.89547498797491,{'$numberInt': '0'},{'$numberInt': '0'},163.9,167.5,163.83,167.37,18894700
68,63,0.023241919101392044,1,facebook,0.042475174189711105,0.07575562517577704,0.02709874781014324,853,36.231323583823574,{'$numberInt': '0'},{'$numberInt': '0'},167.37,171.88,166.55,171.26,28187900
69,64,0.00729884386313208,0,facebook,0.05272949996863035,0.05899720434874337,0.04125713920671361,1725,90.95838744588735,{'$numberInt': '0'},{'$numberInt': '0'},172.9,173.57,171.27,172.51,21531700
70,65,-0.01959306706857571,-1,facebook,0.07018987277337085,0.05168115023359333,0.05883363919625706,1774,124.5168342999599,{'$numberInt': '0'},{'$numberInt': '0'},171.5,171.74,167.61,169.13,18306500
71,66,0.002778927452255655,0,facebook,0.033933573957118365,0.04684966263280742,0.05513151564390411,2336,79.26882876382851,{'$numberInt': '0'},{'$numberInt': '0'},166.2,169.62,165.97,169.6,13184800
72,69,0.0,0,facebook,0.06030595148242198,0.040089194902751486,0.011311191319039455,1887,113.79733044733028,{'$numberInt': '0'},{'$numberInt': '0'},171.6,174.3,171.58,172.07,18884000
73,70,-0.000871738246062682,0,facebook,0.08637354011879445,0.03709058176732181,0.020101983827473992,1844,159.27280797905695,{'$numberInt': '0'},{'$numberInt': '0'},172.09,173.8,171.22,171.92,12155300
74,71,0.008434155421126206,0,facebook,0.007051300995400317,0.043361776900048,0.04889316386707215,5957,42.004600029599686,{'$numberInt': '0'},{'$numberInt': '0'},172.32,174.03,172.12,173.37,11973300
75,72,-0.01845763396204659,-1,facebook,0.021194293993439143,0.036836319903872275,0.05124359753220558,3042,64.47304232804187,{'$numberInt': '0'},{'$numberInt': '0'},169.76,171.15,168.16,170.17,18037400
76,73,-0.024622436387142257,-1,facebook,0.05464160844371548,0.029836951506739182,0.03820637836921131,2219,121.24972913660466,{'$numberInt': '0'},{'$numberInt': '0'},167.16,167.58,162.51,165.98,37135400
77,76,0.0,0,facebook,-0.021325829402870266,0.032795242147681626,0.018213869481238494,2867,-61.141152898029056,{'$numberInt': '0'},{'$numberInt': '0'},163.57,163.9,159.28,160.47,37524200
78,77,0.006854863837477375,0,facebook,-0.010900181911643294,0.021133559164068446,-0.007108609800956755,3021,-32.92944955507439,{'$numberInt': '0'},{'$numberInt': '0'},161.48,163.82,160.82,161.57,25611500
79,78,0.02395246642322216,1,facebook,0.10142836832022664,0.007237313159720197,-0.01074200377150452,1735,175.9782190355932,{'$numberInt': '0'},{'$numberInt': '0'},161.5,166.12,161.24,165.44,20211500
